iter	Logloss
0	0.6480746448
1	0.6118587516
2	0.5825146792
3	0.5598266464
4	0.5446446821
5	0.5298532935
6	0.5189819638
7	0.5093086216
8	0.5024118075
9	0.4939001106
10	0.4885742711
11	0.482997982
12	0.4785388885
13	0.4749831942
14	0.471501642
15	0.4683476402
16	0.4663623609
17	0.4640935396
18	0.4621537673
19	0.4602003879
20	0.4583950001
21	0.4572165454
22	0.4557632169
23	0.4544632435
24	0.4533438516
25	0.4523380398
26	0.4515261994
27	0.4508164664
28	0.4498397988
29	0.4489080467
30	0.4483342713
31	0.4477472446
32	0.447085409
33	0.446611992
34	0.4462865716
35	0.445661562
36	0.4452271785
37	0.4446374515
38	0.4442473537
39	0.443551183
40	0.443075435
41	0.4426407725
42	0.4422442972
43	0.4418773659
44	0.4415500637
45	0.4411908567
46	0.4407964082
47	0.4403225695
48	0.4400473973
49	0.4398077227
50	0.4395461828
51	0.4392588021
52	0.4388264751
53	0.4384586265
54	0.4382880016
55	0.4380925152
56	0.4378120419
57	0.4375909864
58	0.4373589105
59	0.4371620686
60	0.4368492465
61	0.4366025991
62	0.4364027482
63	0.4361246041
64	0.4359681158
65	0.4357205989
66	0.435497367
67	0.435368832
68	0.4350487514
69	0.4347800425
70	0.4345847799
71	0.4343453579
72	0.4341167557
73	0.4339933837
74	0.4338608111
75	0.4336778178
76	0.4335620069
77	0.4333851202
78	0.4332125316
79	0.4330816594
80	0.4329154036
81	0.4327672137
82	0.4326363203
83	0.4324962945
84	0.4323541603
85	0.4322094116
86	0.432081178
87	0.4319801658
88	0.431841206
89	0.4317497032
90	0.4315768914
91	0.4314569132
92	0.4311679411
93	0.4310152417
94	0.4308993855
95	0.4307437091
96	0.4305966806
97	0.4305277106
98	0.4304270618
99	0.4303156693
100	0.4302218761
101	0.4301216059
102	0.430050904
103	0.4299856502
104	0.4299289285
105	0.4298737164
106	0.4297559531
107	0.4297018338
108	0.4296499655
109	0.4296133621
110	0.4295548202
111	0.4295062481
112	0.4294151527
113	0.4293550815
114	0.4293091477
115	0.4292203093
116	0.429175895
117	0.4291328526
118	0.4290910857
119	0.4289174144
120	0.4288771827
121	0.4287131349
122	0.4286015125
123	0.4284985906
124	0.4284033407
125	0.4282414422
126	0.4281423876
127	0.4279418438
128	0.4278992502
129	0.4277535685
